2020-04-21 16:09:07.072698: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:09:26.153881: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:09:37.141409: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-22 13:07:15.051564: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:07:54.322438: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:32:40.460115: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:37:06.130644: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:37:52.930917: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:38:40.529475: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
2020-04-22 13:44:22.614291: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/info'
